codigo,nome,preco,quantidade
1,Pulseira de Prata 170,957.14,73
2,Cafe Torrado 177,2273.47,75
3,Caixa de Som Bluetooth 317,939.26,7
4,Leite Integral 660,920.06,54
5,Mouse Gamer 551,337.59,78
6,Calca Jeans 100,2125.72,17
7,Fone de Ouvido Bluetooth 170,2348.67,22
8,Arroz Branco 927,859.77,19
9,Carteira de Couro 426,1235.76,38
10,Calca Jeans 360,1988.51,57
11,Perfume Masculino 669,330.5,34
12,Azeite de Oliva 114,470.67,20
13,Mochila Escolar 862,29.1,65
14,Cafe Torrado 570,2447.13,5
15,Esmalte Vermelho 791,982.98,66
16,Arroz Branco 329,1136.7,1
17,Mochila Escolar 900,225.66,89
18,Cinto Social 769,2376.99,48
19,Vassoura Retratil 459,1911.13,7
20,Fone de Ouvido Bluetooth 633,1384.67,86
21,Caixa de Som Bluetooth 626,1316.2,88
22,Meias de Algodao 423,1976.34,26
23,Carregador Portatil 927,123.62,90
24,Creme Hidratante 317,1045.19,58
25,Carregador Portatil 682,2056.0,88
26,Camiseta Basica 264,1614.36,35
27,Fone de Ouvido Bluetooth 105,300.58,81
28,Blusa de Frio 806,2000.78,24
29,Amaciante Concentrado 344,854.9,44
30,Bolacha Recheada 712,1363.66,65
31,Mouse Gamer 867,2319.7,83
32,Caixa de Som Bluetooth 457,1641.16,27
33,Vassoura Retratil 111,2348.34,22
34,Perfume Masculino 540,377.91,13
35,Shampoo Anticaspa 639,1630.31,68
36,Calca Jeans 786,828.1,7
37,Caixa de Som Bluetooth 520,1887.25,82
38,Chaveiro Metalico 871,2283.71,71
39,Protetor Solar FPS 50 748,1498.37,39
40,Bermuda Esportiva 848,1898.55,17
41,Macarrao Espaguete 237,2290.74,75
42,Shampoo Anticaspa 953,1156.25,42
43,Notebook 193,118.95,78
44,Bone 773,2120.83,27
45,Vestido Floral 453,1390.46,38
46,Fone de Ouvido Bluetooth 499,134.29,68
47,Chaveiro Metalico 939,222.16,92
48,Leite Integral 883,1686.04,64
49,Carteira de Couro 767,1695.84,98
50,Creme Hidratante 632,1511.89,52
51,Carregador Portatil 933,2219.79,53
